Plan,Verified Emails,Leads,Regular Price,Best For,Value,Buy Link,,,,https://buy.stripe.com/5kQ8wP9kp0fFedh6Uq0052k
Starter,5,000,26.4K,$NaN,Freelancers,Perfect for getting started,https://whop.com/health-care-leads/starter-clinics-leads,,,,https://buy.stripe.com/3cIcN50NTfazglp7Yu0052F
Growth ⭐,25,000,90K,$NaN,Agencies & Growing Campaigns,Save 65% per 1K emails vs Starter,https://whop.com/health-care-leads/growth-clinics-leads,,,,https://buy.stripe.com/9B6aEXgMR6E3c59diO0061F
Professional,50,000,130.7K,$NaN,Sales Teams & Large Campaigns,Save 71% per 1K emails vs Starter,https://whop.com/health-care-leads/professional-clinics-leads,,,,https://buy.stripe.com/cNi5kD9kp6E3edhgv00062q
Business,100,000,307.8K,$NaN,Enterprise Outreach,Save 75% per 1K emails vs Starter,https://whop.com/health-care-leads/business-clinics-leads,,,,https://buy.stripe.com/eVq6oH2W1d2r7OTemS00644
,,,,,,,,,,https://buy.stripe.com/cNibJ10NT4vV9X1diO00706
Monthly,,,,,,,,,,https://buy.stripe.com/28E7sLaote6v0mr6Uq0070q
Plan,Monthly Verified Emails,Leads,Delivery Period,Price,Savings,Buy Link,,,,https://buy.stripe.com/5kQ00jgMRgeD9X13Ie0072o
Starter,8K,42K+,12 Months,$NaN,Save 33%,https://whop.com/health-care-leads/clinics-starter-monthly-data-plan-for-12-months,,,,https://buy.stripe.com/bJe4gz8gl1jJ1qv4Mi0072p
Growth ⭐,17K,89K+,6 Months,$NaN,Save 25%,https://whop.com/health-care-leads/clinics-growth-monthly-data-plan-for-6-months,,,,
Professional,25K,132K+,4 Months,$NaN,Save 17%,https://whop.com/health-care-leads/clinics-professional-monthly-data-plan-for-4-months,,,,
Business,34K,180K+,3 Months,$NaN,Save 8%,https://whop.com/health-care-leads/clinics-business-monthly-data-plan-for-3-months,,,,
