Plan,Verified Emails,Leads,Regular Price,Member Price (40% OFF),Badge,Best For,Buy Link
Starter,5K,25K,$NaN,$NaN,Entry Plan,Small campaigns,https://whop.com/education-training-c476/starter-education-training
Growth,25K,95K,$NaN,$NaN,Most Popular,Agencies & freelancers,https://whop.com/education-training-c476/growth-education-training
Professional,50K,155K,$NaN,$NaN,Best Value,Growing businesses,https://whop.com/education-training-c476/professional-education-training
Business,100K,330K,$NaN,$NaN,High Volume,Large outreach campaigns,https://whop.com/education-training-c476/business-education-training
Enterprise,175K,590K+,$NaN,$NaN,Complete Database,Full education market,https://whop.com/education-training-c476/enterprise-education-training
,,,,,,,
,,,,,,,
Plan,Monthly Verified Emails,Leads,Delivery Period,Total Emails,One-Time Price,Best For,Buy Link
Starter,14.5K,50K+,12 Months,174K+,$NaN,Long-term prospecting,https://whop.com/education-training-c476/starter-education-training-monthly-data-plan-for-12-months
Growth,29.5K,100K+,6 Months,177K+,$NaN,Growing businesses,https://whop.com/education-training-c476/growth-education-training-monthly-data-plan-for-6-months
Professional,44K,150K+,4 Months,176K+,$NaN,Sales teams,https://whop.com/education-training-c476/professional-education-training-monthly-data-plan-for-4-months
Business,69K,200K+,3 Months,177K+,$NaN,High-volume outreach,https://whop.com/education-training-c476/business-education-training-monthly-data-plan-for-12-months/
