Plan,Verified Emails,Business Records,Regular Price,Member Price (40% OFF),Badge,Buy Link
Starter,5K,26K,$NaN,$NaN,Entry Plan,https://whop.com/events-leisure-leadspitch/starter-events-leisure/
Growth,25K,95K,$NaN,$NaN,Most Popular,https://whop.com/events-leisure-leadspitch/growth-events-leisure/
Professional,50K,155K,$NaN,$NaN,Best Value,https://whop.com/events-leisure-leadspitch/professional-events-leisure/
Business,110K,330K,$NaN,$NaN,High Volume,https://whop.com/events-leisure-leadspitch/business-events-leisure/
,,,,,,
,,,,,,
Plan,Monthly Verified Emails,Monthly Business Records,Delivery Period,Total Emails,One-Time Price,Buy Link
Starter,9K,30K+,12 Months,108K,$NaN,https://whop.com/events-leisure-leadspitch/starter-events-leisure-monthly-data-plan-for-12-months/
Growth,18K,60K+,6 Months,108K,$NaN,https://whop.com/events-leisure-leadspitch/growth-events-leisure-monthly-data-plan-for-6-months/
Professional,27K,90K+,4 Months,108K,$NaN,https://whop.com/events-leisure-leadspitch/professional-events-leisure-monthly-data-plan-for-4-months/
Business,37K,125K+,3 Months,111K,$NaN,https://whop.com/events-leisure-leadspitch/business-events-leisure-monthly-data-plan-for-3-months/
