Plan,Verified Emails,Leads,Regular Price,Member Price (40% OFF),Badge,Buy Link
Starter,5K,26K,$13.99,$8.39,Entry Plan,https://whop.com/food-beverage-suppliers/starter-food-beverage-suppliers/
Growth,25K,95K,$24.99,$14.99,Most Popular,https://whop.com/food-beverage-suppliers/growth-food-beverage-suppliers/
Professional,50K,165K,$39.99,$23.99,Best Value,https://whop.com/food-beverage-suppliers/professional-food-beverage-suppliers/
Business,100K,340K,$67.99,$40.79,High Volume,https://whop.com/food-beverage-suppliers/business-food-beverage-suppliers/
Enterprise,170K,620K+,$109.99,$65.99,Complete Database,https://whop.com/food-beverage-suppliers/enterprise-food-beverage-suppliers/
,,,,,,
Plan,Monthly Emails,Leads,Duration,Total Emails,Price,Buy Link
Starter,14K,50K+,12 Months,168K,$69.99,https://whop.com/food-beverage-suppliers/starter-food-beverage-suppliers-monthly-data-plan-for-12-months/
Growth ,28K,100K+,6 Months,168K,$74.99,https://whop.com/food-beverage-suppliers/growth-food-beverage-suppliers-monthly-data-plan-for-6-months/
Professional,42K,150K+,4 Months,168K,$79.99,https://whop.com/food-beverage-suppliers/professional-food-beverage-suppliers-monthly-data-plan-for-4-months/
Business,56K,200K+,3 Months,168K,$84.99,https://whop.com/food-beverage-suppliers/business-food-beverage-suppliers-monthly-data-plan-for-3-months/
