Plan,Verified Emails,Business Records,Regular Price,Member Price (40% OFF),Badge,Buy Link
Starter,5K,25K,$NaN,$NaN,Entry Plan,https://whop.com/hotels-hospitality/starter-hotels-hospitality
Growth,25K,90K,$NaN,$NaN,Most Popular,https://whop.com/hotels-hospitality/growth-hotels-hospitality
Professional,50K,155K,$NaN,$NaN,Best Value,https://whop.com/hotels-hospitality/professional-hotels-hospitality
Business,75K,250K,$NaN,$NaN,Complete Database,https://whop.com/hotels-hospitality/business-hotels-hospitality
,,,,,,
,,,,,,
Plan,Monthly Verified Emails,Monthly Business Records,Delivery Period,Total Emails,One-Time Price,
Starter,6.5K,22K+,12 Months,78K,$NaN,https://whop.com/hotels-hospitality/starter-hotels-hospitality-monthly-data-plan-for-12-months
Growth,13K,44K+,6 Months,78K,$NaN,https://whop.com/hotels-hospitality/growth-hotels-hospitality-monthly-data-plan-for-6-months
Professional,19K,66K+,4 Months,76K,$NaN,https://whop.com/hotels-hospitality/professional-hotels-hospitality-monthly-data-plan-for-4-months
Business,26K,88K+,3 Months,78K,$NaN,https://whop.com/hotels-hospitality/business-hotels-hospitality-monthly-data-plan-for-12-months
