Plan,Verified Emails,Business Records,Regular Price,Member Price (40% OFF),Badge,Buy Link
Starter,5K,28K,$NaN,$NaN,Entry Plan,https://whop.com/restaurants-cafes/starter-restaurants-cafes/
Growth,25K,100K,$NaN,$NaN,Most Popular,https://whop.com/restaurants-cafes/growth-restaurants-cafes/
Professional,50K,170K,$NaN,$NaN,Best Value,https://whop.com/restaurants-cafes/professional-restaurants-cafes/
Business,100K,360K,$NaN,$NaN,High Volume,https://whop.com/restaurants-cafes/business-restaurants-cafes/
Enterprise,200K,760K+,$NaN,$NaN,Complete Database,https://whop.com/restaurants-cafes/enterprise-restaurants-cafes/
,,,,,,
Plan,Monthly Emails,Monthly Records,Duration,Total Emails,Price,Buy Link
Starter,17K,60K+,12 Months,204K,$NaN,https://whop.com/restaurants-cafes/starter-restaurants-cafes-monthly-data-plan-for-12-months/
Growth,34K,120K+,6 Months,204K,$NaN,https://whop.com/restaurants-cafes/growth-restaurants-cafes-monthly-data-plan-for-6-months/
Professional,50K,180K+,4 Months,200K,$NaN,https://whop.com/restaurants-cafes/professional-restaurants-cafes-monthly-data-plan-for-4-months/
Business,67K,240K+,3 Months,201K,$NaN,https://whop.com/restaurants-cafes/business-restaurants-cafes-monthly-data-plan-for-3-months/
