Plan,Verified Emails,Leads,Regular Price,Member Price (40% OFF),Badge,Buy Link
Starter,5K,26K,$NaN,$NaN,Entry Plan,https://whop.com/home-services-leadspitch/starter-home-services/
Growth,25K,100K,$NaN,$NaN,Most Popular,https://whop.com/home-services-leadspitch/growth-home-services/
Professional,50K,170K,$NaN,$NaN,Best Value,https://whop.com/home-services-leadspitch/professional-home-services/
Business,100K,350K,$NaN,$NaN,High Volume,https://whop.com/home-services-leadspitch/business-home-services/
Scale,200K,700K,$NaN,$NaN,Growing Enterprise,https://whop.com/home-services-leadspitch/scale-home-services/
Enterprise,300K,1.05M,$NaN,$NaN,Enterprise Ready,https://whop.com/home-services-leadspitch/enterprise-home-services/
Complete Database,430K+,1.5M+,$NaN,$NaN,Complete Coverage,https://whop.com/home-services-leadspitch/complete-database-home-services/
,,,,,,
Plan,Monthly Emails,Leads,Delivery Period,Total Emails,One-Time Price,Buy Link
Starter,36K,125K+,12 Months,432K,$NaN,https://whop.com/home-services-leadspitch/starter-home-services-monthly-data-plan-for-12-months/
Growth,72K,250K+,6 Months,432K,$NaN,https://whop.com/home-services-leadspitch/growth-home-services-monthly-data-plan-for-6-months/
Professional,108K,375K+,4 Months,432K,$NaN,https://whop.com/home-services-leadspitch/professional-home-services-monthly-data-plan-for-4-months/
Business,144K,500K+,3 Months,432K,$NaN,https://whop.com/home-services-leadspitch/business-home-services-monthly-data-plan-for-3-months/
